"","employee","salaries_2017","salaries_2018","change","got_raise"
"1","Employee 1",42965.3196805157,48264.5645656157,5299.24488510005,TRUE
"2","Employee 2",42914.6537650377,53890.2925071307,10975.638742093,TRUE
"3","Employee 3",45939.5134076476,50464.6606813185,4525.14727367088,TRUE
"4","Employee 4",48874.4029845111,46022.5229896605,-2851.87999485061,FALSE
"5","Employee 5",46814.8006661795,50790.0081784464,3975.20751226693,TRUE
"6","Employee 6",46260.5473515578,41575.7990290876,-4684.74832247011,FALSE
"7","Employee 7",41474.470233079,38833.7574724574,-2640.71276062168,FALSE
"8","Employee 8",41086.9908658788,36815.1558865793,-4271.83497929946,FALSE
"9","Employee 9",43359.1136755422,53672.9242838919,10313.8106083497,TRUE
"10","Employee 10",47348.8314542919,54794.140473241,7445.30901894905,TRUE
"11","Employee 11",41888.2138608024,42245.6318733748,357.418012572452,TRUE
"12","Employee 12",49827.3642966524,47161.7910661735,-2665.57323047891,FALSE
"13","Employee 13",43063.9093974605,55542.4496729393,12478.5402754787,TRUE
"14","Employee 14",41433.7253570557,44927.7308234014,3494.0054663457,TRUE
"15","Employee 15",42987.5753563829,54049.9617764726,11062.3864200898,TRUE
"16","Employee 16",48046.0609029979,53939.8127957247,5893.75189272687,TRUE
"17","Employee 17",41804.3455691077,54236.3522620872,12432.0066929795,TRUE
"18","Employee 18",48783.5966399871,41382.0477575064,-7401.54888248071,FALSE
"19","Employee 19",44279.5734200627,43030.4980045184,-1249.07541554421,FALSE
"20","Employee 20",48958.030748181,55382.6775308698,6424.6467826888,TRUE
"21","Employee 21",46095.4020195641,45740.0459318887,-355.356087675318,FALSE
"22","Employee 22",47232.9040942714,43281.0617983341,-3951.84229593724,FALSE
"23","Employee 23",47215.3471503407,46331.7255093716,-883.621640969068,FALSE
"24","Employee 24",44986.6899428889,45216.5831218008,229.89317891188,TRUE
"25","Employee 25",47618.7712629326,45611.3280623686,-2007.44320056401,FALSE
"26","Employee 26",47288.6184882373,58493.851342937,11205.2328546997,TRUE
"27","Employee 27",44495.104632806,40384.3385458458,-4110.76608696021,FALSE
"28","Employee 28",48845.1194344088,38842.0255261008,-10003.0939083081,FALSE
"29","Employee 29",47162.7424005419,50847.3417081404,3684.59930759855,TRUE
"30","Employee 30",43764.7637841292,45176.5475119464,1411.78372781724,TRUE
"31","Employee 31",42497.6972281002,41452.436351683,-1045.26087641716,FALSE
"32","Employee 32",40197.7961999364,45441.2234702613,5243.4272703249,TRUE
"33","Employee 33",47867.5174131058,40321.6487495229,-7545.86866358295,FALSE
"34","Employee 34",45674.2230476812,45013.0552670453,-661.167780635878,FALSE
"35","Employee 35",48481.6504199989,48616.2636312656,134.613211266696,TRUE
"36","Employee 36",47321.0413148627,42109.074665932,-5211.96664893068,FALSE
"37","Employee 37",45889.4895319827,47675.3697299864,1785.88019800372,TRUE
"38","Employee 38",42362.6979114488,49948.8918087445,7586.19389729574,TRUE
"39","Employee 39",40338.1407028064,45280.3205698729,4942.17986706644,TRUE
"40","Employee 40",40814.1644718125,52643.8869163394,11829.7224445269,TRUE
"41","Employee 41",46796.1324378848,39018.0557675194,-7778.07667036541,FALSE
"42","Employee 42",48711.7048632354,44340.6091828365,-4371.09568039887,FALSE
"43","Employee 43",46157.0065212436,43753.7619529758,-2403.24456826784,FALSE
"44","Employee 44",41913.2383004762,49621.8675025739,7708.62920209765,TRUE
"45","Employee 45",49680.2131948061,49671.5259854682,-8.68720933794975,FALSE
